hub,table,affected_satellites,other_verified_keys_on_table,candidate_discriminator_columns,note
HUB_CLAIM,BJAZ_TRV_CLM_ITRACK_DTLS,SAT_CLAIM_HEALTH_DETAIL,HUB_POLICY(POLICY_NO); HUB_CASE(ITRACK_NO),"ZIP_CODE, ITRACK_STATUS, CLAIM_TYPE",
HUB_COVERAGE,BA_HCP_PROD_8428_GPG_LOADER,SAT_COVERAGE_MEMBER_BENEFIT,"HUB_POLICY(POL_SERIAL_NO); HUB_FINANCIAL_ACCOUNT(MLAC_EMI_PC_LOAN_ACCOUNT_NO); HUB_ASSESSMENT(PD_SCRUTINY_NUMBER); HUB_ORG_UNIT(PD_LOCATION_CODE); HUB_PARTY(PD_PREMIUM_PAYER_ID); HUB_DISTRIBUTION_CHANNEL(PD_PARTNER_ID); HUB_DISTRIBUTION_CHANNEL(PD_IMD_CODE); HUB_FINANCIAL_ACCOUNT(PD_BANK_REF_NO1_LAC_SAC); HUB_PRODUCT(PD_PRODUCT_CODE); HUB_POLICY(POLICY_REF); HUB_RISK_OBJECT(POL_SERIAL_NO,MD_SEQ_NO); HUB_PARTY(PD_IMD_RM_E_CODE); HUB_PARTY(PD_BAGIC_RM_E_CODE)","PD_BUSINESS_TYPE, PD_PARTNER_TYPE, PD_SUB_IMD_CODE, PD_PIN_CODE",
HUB_COVERAGE,BA_HCP_PROD_8433_FHC_LOADER,SAT_COVERAGE_CONDITIONS; SAT_COVERAGE_MEMBER_BENEFIT,"HUB_POLICY(POL_SERIAL_NO); HUB_ASSESSMENT(PD_SCRUTINY_NUMBER); HUB_ORG_UNIT(PD_LOCATION_CODE); HUB_PARTY(PD_PREMIUM_PAYER_ID); HUB_DISTRIBUTION_CHANNEL(PD_PARTNER_ID); HUB_DISTRIBUTION_CHANNEL(PD_IMD_CODE); HUB_FINANCIAL_ACCOUNT(PD_BANK_REF_NO1_LAC_SAC); HUB_PRODUCT(PD_PRODUCT_CODE); HUB_POLICY(POLICY_REF); HUB_RISK_OBJECT(POL_SERIAL_NO,MD_SEQ_NO); HUB_PARTY(PD_IMD_RM_E_CODE); HUB_PARTY(PD_BAGIC_RM_E_CODE)","PD_BUSINESS_TYPE, PD_PARTNER_TYPE, PD_SUB_IMD_CODE, PD_PIN_CODE",
HUB_COVERAGE,BA_HCP_PROD_8439_CLH_LOADER,SAT_COVERAGE_CONDITIONS; SAT_COVERAGE_DEFINITION; SAT_COVERAGE_MEMBER_BENEFIT,HUB_POLICY(POL_SERIAL_NO); HUB_FINANCIAL_ACCOUNT(PLC_LOAN_ACC_NO); HUB_ASSESSMENT(PD_SCRUTINY_NUMBER); HUB_ORG_UNIT(PD_LOCATION_CODE); HUB_PARTY(PD_PREMIUM_PAYER_ID); HUB_DISTRIBUTION_CHANNEL(PD_PARTNER_ID); HUB_DISTRIBUTION_CHANNEL(PD_IMD_CODE); HUB_FINANCIAL_ACCOUNT(PD_BANK_REF_NO1_LAC_SAC); HUB_PRODUCT(PD_PRODUCT_CODE); HUB_POLICY(POLICY_REF); HUB_PARTY(PD_IMD_RM_E_CODE); HUB_PARTY(PD_BAGIC_RM_E_CODE),"MD_OCCUPATION_TYPE, PLC_BORROWER_TYPE, PD_BUSINESS_TYPE, PD_PARTNER_TYPE, PD_SUB_IMD_CODE, PD_PIN_CODE",
HUB_COVERAGE,BJAZ_BANDHAN_MEDI_CLAM,SAT_COVERAGE_LIMITS,HUB_CLAIM(REFERENCE_ID); HUB_POLICY(POLICY_REF); HUB_PRODUCT(PRODUCT_CODE); HUB_PARTY(CUSTOMER_ID); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_ASSESSMENT(SCRUTINY_NO); HUB_POLICY(CONTRACT_ID); HUB_DISTRIBUTION_CHANNEL(IMD_CODE); HUB_DISTRIBUTION_CHANNEL(SUBIMD_CODE); HUB_LOCATION(LOCATION_CODE); HUB_DISTRIBUTION_CHANNEL(LG_CODE); HUB_PRODUCT(PLAN_ID),"PARTNER_TYPE, P_PINCODE, M_PINCODE, BUSINESS_TYPE, FLAG, HPR_FLAG",
HUB_COVERAGE,BJAZ_CTNGY_PA_MEM_DTLS,SAT_COVERAGE_MEMBER_BENEFIT,"HUB_POLICY(CONTRACT_ID); HUB_PRODUCT(SCHEME_CODE); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_RISK_OBJECT(CONTRACT_ID,MEMBER_REF_NUMBER)","ACTION_CODE, SECTION_CODE, BANK_RM_CODE, BAGIC_RM_CODE, MAIL_FLAG, TAX_CODE",
HUB_COVERAGE,BJAZ_EC_MEM_DTLS_EXTN,SAT_COVERAGE_LIMITS,"HUB_POLICY(CONTRACT_ID); HUB_POLICY(POLICY_REF); HUB_PARTY(MEMBER_NO); HUB_DOCUMENT(MEDICAL_REPORT); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_RISK_OBJECT(CONTRACT_ID,MEMBER_NO)","ACTION_CODE, STATUS",
HUB_COVERAGE,BJAZ_GP_HOSPITAL_CASH,SAT_COVERAGE_LIMITS,HUB_PROPOSAL(REFERENCE_ID); HUB_PRODUCT(PRODUCT_CODE); HUB_POLICY(MASTER_POLICY_NO); HUB_DISTRIBUTION_CHANNEL(IMD_CODE); HUB_DISTRIBUTION_CHANNEL(SUBIMD_ID); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_PARTY(USER_ID); HUB_PROPOSAL(KGC_PROPOSAL_NUMBER); HUB_PARTY(CLIENT_ID); HUB_FINANCIAL_ACCOUNT(S_ACCOUNT_NUMBER); HUB_PARTY(CUSTOMER_ID); HUB_PARTY(SM_CODE); HUB_PARTY(BDR_CODE),CUSTOMER_TYPE,
HUB_COVERAGE,BJAZ_GRP_HLT_DTLS,SAT_COVERAGE_CONDITIONS; SAT_COVERAGE_DEFINITION; SAT_COVERAGE_LIMITS; SAT_COVERAGE_SUBLIMIT_SCHEDULE,HUB_POLICY(REG_NO); HUB_PRODUCT(PRODUCT); HUB_ASSESSMENT(SCRUTINY_NO); HUB_ORG_UNIT(BRANCH); HUB_ORG_UNIT(DEPARTMENT); HUB_POLICY(POLICY_NO); HUB_QUOTE(QUOTE_SUB_NO); HUB_QUOTE(QUOTE_NO); HUB_QUOTE(QUOTE_REF_NO); HUB_PROPOSAL(QUOTE_REF_NO),"CATEGORY, STATUS, INDUSTRY_TYPE, QUOTE_STATUS, QUOTE_SUB_STATUS, PER_PERSON_PREM_TYPE, BUSINESS_TYPE, POLICY_TYPE",
HUB_COVERAGE,BJAZ_GRP_HLT_MATERNITY_DTLS,SAT_COVERAGE_CONDITIONS; SAT_COVERAGE_LIMITS,HUB_POLICY(REG_NO); HUB_PRODUCT(PRODUCT); HUB_QUOTE(QUOTE_SUB_NO); HUB_QUOTE(QUOTE_NO),TAX_CODE,
HUB_COVERAGE,BJAZ_HCF_MEMBER_DTLS,SAT_COVERAGE_CONDITIONS; SAT_COVERAGE_DEFINITION; SAT_COVERAGE_MEMBER_BENEFIT,"HUB_POLICY(CONTRACT_ID); HUB_PARTY(MEMBER_NO); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_POLICY(POLICY_NUMBER); HUB_RISK_OBJECT(CONTRACT_ID,MEMBER_NO)","ACTION_CODE, SMOKER_FLAG, ASTHMA_FLAG, HOLESTEROL_FLAG, HEART_FLAG, HIPERTENSION_FLAG, DIABETES_FLAG, HEIGHT_FLAG, WEIGHT_FLAG, AGE_PROOF_FLAG, MED_EXAM_FLAG, OBESITY_FLAG, BMI_FLAG, OTHER_RISK_FLAG, HYPERLIPIDE_FLAG, DIABETES_TYPE",
HUB_COVERAGE,BJAZ_HCP_TRANSCRIPT_URL,SAT_COVERAGE_MEMBER_BENEFIT,HUB_DISTRIBUTION_CHANNEL(IMD_CODE); HUB_ASSESSMENT(SCRUTINY_NO); HUB_PRODUCT(PRODUCT_CODE),"SENT_STATUS, BUSINESS_TYPE",
HUB_COVERAGE,BJAZ_HCS_PLANSI_MAPP,SAT_COVERAGE_MEMBER_BENEFIT,HUB_PRODUCT(PRODUCT_CODE),,"no candidate discriminator column found at all -- would need a literal/mapper-supplied one, not just confirmation of an existing column"
HUB_COVERAGE,BJAZ_HC_PART_EXTN,SAT_COVERAGE_MEMBER_BENEFIT,HUB_POLICY(CONTRACT_ID); HUB_PARTY(PART_ID),"ACTION_CODE, RATE_STATUS, STATUS",
HUB_COVERAGE,BJAZ_HM_BILL_DETAIL,SAT_COVERAGE_DEFINITION,HUB_CLAIM(CLAIM_ID); HUB_CLAIM(CLID_HPMS),"DELETE_FLAG, BILL_TYPE, ADD_STATUS, BILL_STATUS, BILL_STATUS_TYPE, ELIGIBLE_ROOM_CATEGORY, AVAILED_ROOM_CATEGORY, COVER_TYPE",
HUB_COVERAGE,BJAZ_HM_BILL_DETAIL_OCR,SAT_COVERAGE_DEFINITION,HUB_CLAIM(CLAIM_ID); HUB_CLAIM(CLID_HPMS),"DELETE_FLAG, BILL_TYPE, ADD_STATUS, BILL_STATUS, BILL_STATUS_TYPE, ELIGIBLE_ROOM_CATEGORY, AVAILED_ROOM_CATEGORY, COVER_TYPE",
HUB_COVERAGE,BJAZ_HM_HCM_EXTRACT,SAT_COVERAGE_SUBLIMIT_SCHEDULE,"HUB_CLAIM(CLID); HUB_POLICY(POLICY); HUB_CLAIM(CLAIM_NO); HUB_PAYMENT_INSTRUMENT(CHEQUE_NO); HUB_FINANCIAL_ACCOUNT(BANK_AC_NO); HUB_DISTRIBUTION_CHANNEL(IMD_CODE); HUB_PARTY(HOSPITAL_ID); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_PARTY(PID); HUB_LOSS_EVENT(CLAIM_NO); HUB_FINANCIAL_TRANSACTION(CLAIM_NO,UTR_NO); HUB_PAYMENT_INSTRUMENT(UTR_NO); HUB_LOCATION(POLICY_LOCATION)","HOSPITAL_TYPE, ROOM_CATEGORY, CLAIM_TYPE, TREATMENT_TYPE, CLAIM_STATUS, ICD_CODE, DISEASE_CATEGORY, PAY_STATUS, CLAIM_CLOSE_STATUS, IP_TYPE, ELIGIBLE_ROOM_CATEGORY, AVAILED_ROOM_CATEGORY",
HUB_COVERAGE,BJAZ_IHG_MEM_DTLS_EXTN,SAT_COVERAGE_MEMBER_BENEFIT,HUB_POLICY(CONTRACT_ID); HUB_PARTY(MEMBER_NO); HUB_POLICY(POLICY_REF); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_DOCUMENT(MEDICAL_REPORT),"ACTION_CODE, STATUS, MEM_ADD_FLAG",
HUB_COVERAGE,BJAZ_ILLNESS_BASES_EXTN,SAT_COVERAGE_MEMBER_BENEFIT,HUB_POLICY(CONTRACT_ID),ACTION_CODE,
HUB_COVERAGE,BJAZ_PMJAY_PRMBOOK_DTLS,SAT_COVERAGE_LIVES_COUNT,HUB_POLICY(POLICY_REF),ENDT_TYPE,
HUB_COVERAGE,BJAZ_SH_MEM_DTLS_EXTN,SAT_COVERAGE_MEMBER_BENEFIT,HUB_POLICY(CONTRACT_ID); HUB_POLICY(POLICY_REF); HUB_PARTY(MEMBER_NO); HUB_DOCUMENT(MEDICAL_REPORT); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID),"ACTION_CODE, STATUS",
HUB_COVERAGE,BJAZ_SUPER_SURAKSHA_DTLS,SAT_COVERAGE_MEMBER_BENEFIT,HUB_POLICY(CONTRACT_ID); HUB_POLICY(POLICY_REF); HUB_PARTY(CUSTOMER_ID); HUB_PARTY(USER_ID); HUB_PRODUCT(PRODUCT_CODE); HUB_DISTRIBUTION_CHANNEL(IMD_CODE); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_DISTRIBUTION_CHANNEL(SUBIMD_CODE); HUB_LOCATION(LOCATION_CODE); HUB_ASSESSMENT(SCRUTINY_NO),"UPLOAD_STATUS, BORROWER_TYPE, PROPOSER_OCCUPATION_TYPE, PARTNER_TYPE, P_PINCODE, M_PINCODE, BUSINESS_TYPE, STATUS",
HUB_COVERAGE,BJAZ_TPA_CLAIM_DETAILS_WS,SAT_COVERAGE_DEFINITION,HUB_PARTY(CUSTOMER_ID); HUB_POLICY(POLICY_NO); HUB_PAYMENT_INSTRUMENT(CHEQUE_NO); HUB_CLAIM(BJAZ_CLAIM_ID); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_LOSS_EVENT(TPA_CLAIM_NO); HUB_FINANCIAL_TRANSACTION(TPA_TRANS_KEY); HUB_ORG_UNIT(OPERATING_OFFICE); HUB_ORG_UNIT(CONTROLLING_OFFICE); HUB_PARTY(HOSPITAL_CODE),"CLAIM_TYPE, CLAIM_CATEGORY, POLICY_TYPE, PRE_AUTH_STATUS, AGENT_CODE, DEVELOPMENT_CODE, OPERATING_CODE, SETTELEMENT_TYPE, STATUS, BENEFIT_TYPE, PINCODE, BRANCH_IFSC_CODE, BRANCH_MICR_CODE, NEFT_BANK_STATUS, ACCOUNT_TYPE, NEFT_ENABLE_FLAG, BJAZ_CLAIM_STATUS, WEB_APP_STATUS",
HUB_DISTRIBUTION_CHANNEL,BJAZ_GRP_HLT_CUST_DTLS,SAT_CHANNEL_DEFINITION,HUB_POLICY(REG_NO); HUB_PRODUCT(PRODUCT); HUB_QUOTE(QUOTE_SUB_NO); HUB_QUOTE(QUOTE_NO),PARTNER_TYPE,
HUB_DISTRIBUTION_CHANNEL,BJAZ_GRP_HLT_DTLS,SAT_CHANNEL_DEFINITION,HUB_POLICY(REG_NO); HUB_PRODUCT(PRODUCT); HUB_ASSESSMENT(SCRUTINY_NO); HUB_ORG_UNIT(BRANCH); HUB_ORG_UNIT(DEPARTMENT); HUB_POLICY(POLICY_NO); HUB_QUOTE(QUOTE_SUB_NO); HUB_QUOTE(QUOTE_NO); HUB_QUOTE(QUOTE_REF_NO); HUB_PROPOSAL(QUOTE_REF_NO),"CATEGORY, STATUS, INDUSTRY_TYPE, QUOTE_STATUS, QUOTE_SUB_STATUS, PER_PERSON_PREM_TYPE, BUSINESS_TYPE, POLICY_TYPE",
HUB_DOCUMENT,BJAZ_HCP_TRANSCRIPT_URL,SAT_DOCUMENT_DEFINITION,HUB_DISTRIBUTION_CHANNEL(IMD_CODE); HUB_ASSESSMENT(SCRUTINY_NO); HUB_PRODUCT(PRODUCT_CODE),"SENT_STATUS, BUSINESS_TYPE",
HUB_DOCUMENT,BJAZ_HM_HCM_EXTRACT,SAT_DOCUMENT_CHECKLIST; SAT_DOCUMENT_DEFINITION,"HUB_CLAIM(CLID); HUB_POLICY(POLICY); HUB_CLAIM(CLAIM_NO); HUB_PAYMENT_INSTRUMENT(CHEQUE_NO); HUB_FINANCIAL_ACCOUNT(BANK_AC_NO); HUB_DISTRIBUTION_CHANNEL(IMD_CODE); HUB_PARTY(HOSPITAL_ID); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_PARTY(PID); HUB_LOSS_EVENT(CLAIM_NO); HUB_FINANCIAL_TRANSACTION(CLAIM_NO,UTR_NO); HUB_PAYMENT_INSTRUMENT(UTR_NO); HUB_LOCATION(POLICY_LOCATION)","HOSPITAL_TYPE, ROOM_CATEGORY, CLAIM_TYPE, TREATMENT_TYPE, CLAIM_STATUS, ICD_CODE, DISEASE_CATEGORY, PAY_STATUS, CLAIM_CLOSE_STATUS, IP_TYPE, ELIGIBLE_ROOM_CATEGORY, AVAILED_ROOM_CATEGORY",
HUB_FINANCIAL_TRANSACTION,BA_HCP_DT_PREMIUM,SAT_FINTXN_PREMIUM; SAT_FINTXN_TAX; SAT_FIN_RECEIPT,HUB_POLICY(CONTRACT_ID); HUB_PRODUCT(PRODUCT_CODE); HUB_PARTY(USER_ID); HUB_COVERAGE(HCP_SEQNO),"ACTION_CODE, SOURCE_TYPE, BUSS_TYPE, SELF_COVERED_FLAG",
HUB_FINANCIAL_TRANSACTION,BA_HCP_PRIME_RIDER_DTLS,SAT_FINTXN_PREMIUM; SAT_FINTXN_TAX,HUB_POLICY(BASE_POLICY_REF); HUB_POLICY(BASE_CONTRACT_ID); HUB_PRODUCT(PRODUCT_CODE); HUB_PRODUCT(PLAN_ID); HUB_POLICY(HAN_NUMBER),,"no candidate discriminator column found at all -- would need a literal/mapper-supplied one, not just confirmation of an existing column"
HUB_FINANCIAL_TRANSACTION,BJAZ_GENERIC_LOADER_LOG_TABLE,SAT_FINTXN_PREMIUM,HUB_POLICY(PMASTERPOLICYNUMBER); HUB_PRODUCT(SCHEMECODE); HUB_PRODUCT(PLANID); HUB_LOCATION(LOCATIONCODE); HUB_POLICY(PCONTRACTID); HUB_POLICY(POLICYNUMBER); HUB_DISTRIBUTION_CHANNEL(PARTNERID),"MARITALSTATUS, EMPSTATUS, PINCODE, AADHAR_VALID_STATUS, PAN_VALID_STATUS",
HUB_FINANCIAL_TRANSACTION,BJAZ_GPG_POL_DTLS,SAT_FINTXN_PREMIUM; SAT_FINTXN_TAX,HUB_POLICY(REFERENCE_ID); HUB_POLICY(POLICY_REF); HUB_POLICY(CONTRACT_ID); HUB_DISTRIBUTION_CHANNEL(IMD_CODE); HUB_DISTRIBUTION_CHANNEL(SUB_IMD_CODE); HUB_FINANCIAL_ACCOUNT(LMS_NO); HUB_PRODUCT(PRODUCT_CODE); HUB_ORG_UNIT(COMPANY_ORG_UNIT); HUB_REINSURANCE_TREATY(RE_INSU); HUB_ASSESSMENT(SCRUTINY_NO); HUB_PARTY(BAGIC_E_CODE); HUB_PARTY(IMD_CODE); HUB_PARTY(SUB_IMD_CODE); HUB_PARTY(BAGIC_RM_E_CODE),"BUSINESS_TYPE, TAX_CODE, POLICY_TYPE, MAILING_PINCODE",
HUB_FINANCIAL_TRANSACTION,BJAZ_GRP_HLT_MATERNITY_DTLS,SAT_FINTXN_TAX,HUB_POLICY(REG_NO); HUB_PRODUCT(PRODUCT); HUB_QUOTE(QUOTE_SUB_NO); HUB_QUOTE(QUOTE_NO),TAX_CODE,
HUB_FINANCIAL_TRANSACTION,BJAZ_HM_GMC_AHC,SAT_FINTXN_HEADER,HUB_POLICY(POLICY_NO),,"no candidate discriminator column found at all -- would need a literal/mapper-supplied one, not just confirmation of an existing column"
HUB_FINANCIAL_TRANSACTION,BJAZ_HM_PRO_ASSESSMENT,SAT_FIN_RECEIPT,HUB_ASSESSMENT(ASSESS_ID); HUB_CLAIM(CLAIM_ID); HUB_CLAIM(CLID_HPMS),DELETE_FLAG,
HUB_FINANCIAL_TRANSACTION,BJAZ_IHG_MEM_DTLS_EXTN,SAT_FINTXN_PREMIUM,HUB_POLICY(CONTRACT_ID); HUB_PARTY(MEMBER_NO); HUB_POLICY(POLICY_REF); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_DOCUMENT(MEDICAL_REPORT),"ACTION_CODE, STATUS, MEM_ADD_FLAG",
HUB_FINANCIAL_TRANSACTION,BJAZ_PMJAY_PRMBOOK_DTLS,SAT_FIN_PREMIUM_REGISTER,HUB_POLICY(POLICY_REF),ENDT_TYPE,
HUB_FINANCIAL_TRANSACTION,BJAZ_REMEDINET_CLAIM_DETAILS,SAT_FINTXN_CLAIM_PAYMENT,HUB_CLAIM(CLAIM_NO); HUB_CLAIM(CLAIM_ID); HUB_POLICY(POLICY_NO); HUB_PARTY(PAYER_CODE); HUB_DOCUMENT(OMNI_INWARD_NO); HUB_AGREEMENT(REMEDINET_PROVIDER_CODE); HUB_PARTY(REMEDINET_PROVIDER_CODE),"CLAIM_STATUS, COPAY_TYPE, ACTION_STATUS, CLAIM_TYPE, PAYER_PROVIDER_CODE, VALID_FLAG, DOWNLOAD_FLAG, UPDATE_STATUS",
HUB_FINANCIAL_TRANSACTION,BJAZ_SH_MEM_DTLS_EXTN,SAT_FINTXN_PREMIUM,HUB_POLICY(CONTRACT_ID); HUB_POLICY(POLICY_REF); HUB_PARTY(MEMBER_NO); HUB_DOCUMENT(MEDICAL_REPORT); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID),"ACTION_CODE, STATUS",
HUB_LOCATION,BA_HCP_PP_MEM_DTLS,SAT_COMMON_ADDRESS,HUB_POLICY(CONTRACT_ID); HUB_ASSESSMENT(SCRUTINY_NO); HUB_PARTY(ALLOTED_TO); HUB_PROPOSAL(HI_CONTROL_NUMBER),"APPOINTMENT_CODE, PAY_TYPE, HINI_FLAG, PRIORITY_FLAG, TEST_CODE, STATUS_CODE, SUB_STATUS_CODE, DC_PINCODE, TPA_FLAG",
HUB_LOCATION,BJAZ_GPG_POL_DTLS,SAT_COMMON_ADDRESS,HUB_POLICY(REFERENCE_ID); HUB_POLICY(POLICY_REF); HUB_POLICY(CONTRACT_ID); HUB_DISTRIBUTION_CHANNEL(IMD_CODE); HUB_DISTRIBUTION_CHANNEL(SUB_IMD_CODE); HUB_FINANCIAL_ACCOUNT(LMS_NO); HUB_PRODUCT(PRODUCT_CODE); HUB_ORG_UNIT(COMPANY_ORG_UNIT); HUB_REINSURANCE_TREATY(RE_INSU); HUB_ASSESSMENT(SCRUTINY_NO); HUB_PARTY(BAGIC_E_CODE); HUB_PARTY(IMD_CODE); HUB_PARTY(SUB_IMD_CODE); HUB_PARTY(BAGIC_RM_E_CODE),"BUSINESS_TYPE, TAX_CODE, POLICY_TYPE, MAILING_PINCODE",
HUB_LOCATION,BJAZ_GRP_HLT_CUST_DTLS,SAT_COMMON_ADDRESS,HUB_POLICY(REG_NO); HUB_PRODUCT(PRODUCT); HUB_QUOTE(QUOTE_SUB_NO); HUB_QUOTE(QUOTE_NO),PARTNER_TYPE,
HUB_LOCATION,BJAZ_HAT_ID_MEM_DETLS,SAT_COMMON_ADDRESS,HUB_POLICY(CONTRACT_ID); HUB_PARTY(MEMBER_NO); HUB_PARTY(PART_ID),"STATUS, REWORK_FLAG",
HUB_LOCATION,BJAZ_HG_POL_DTLS,SAT_COMMON_ADDRESS; SAT_COMMON_GEO,HUB_POLICY(CONTRACT_ID); HUB_POLICY(POLICY_REF); HUB_ORG_UNIT(COMPANY_ORG_UNIT); HUB_ORG_UNIT(DEPARTMENT_CODE); HUB_PRODUCT(PRODUCT_4DIGIT_CODE); HUB_DISTRIBUTION_CHANNEL(BUSINESS_SOURCE); HUB_COVERAGE(COVER_CODE); HUB_QUOTE(QUOTE_REF_NO); HUB_PARTY(PART_ID); HUB_PARTY(PROSPECT_ID); HUB_DISTRIBUTION_CHANNEL(MAIN_AGENT_CODE); HUB_PROPOSAL(QUOTE_REF_NO),"POLICY_TYPE, QUOTE_STATUS, POSTCODE, CURR_PINCODE, COUNTRY_CODE, SUB_AGENT_CODE, AUTH_CODE, MERCHANT_CODE, MAILING_PINCODE",
HUB_LOCATION,BJAZ_HM_HOSPITAL_MASTER_EXTN,SAT_COMMON_ADDRESS; SAT_COMMON_GEO,HUB_PARTY(HOSID); HUB_DISTRIBUTION_CHANNEL(DISTRIBUTION_PARTNER); HUB_AGREEMENT(HOSID),"NEFT_STATUS, BR_MICR_CODE, ACCOUNT_TYPE, DELETE_FLAG, PPN_TYPE, FRAUD_TYPE, PACKAGE_TYPE, ROHINI_CODE",
